Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
127.665,26.4424508095276,-47.0261867738061,-0.260007959317832,-0.0297202272418154,-0.00136847466100941,0.0580499595144542,2.4
127.67,26.4541202880154,-47.0289837850353,-0.258812644567432,-0.0297268909762494,-0.00129671672921235,0.0581034118412165,2.4
127.675,26.4657931659227,-47.0317665752454,-0.258812644567432,-0.0297331841579994,-0.00122023636179455,0.0581584286938086,2.4
127.68,26.4774661092017,-47.0345490912292,-0.257615123471939,-0.0297390901568863,-0.00114183784723843,0.0582134455464008,2.4
127.685,26.4891424420545,-47.0373173490032,-0.257615123471939,-0.0297445931430294,-0.00105901531921184,0.0582697921869775,2.4
127.69,26.5008188415098,-47.0400853258369,-0.256415331435129,-0.0297496769113802,-0.000974144520110402,0.0583261388275542,2.4
127.695,26.5124986204617,-47.0428390076683,-0.256415331435129,-0.0297543260442468,-0.000885146447202897,0.0583835840348079,2.4
127.7,26.5241784669576,-47.045592402995,-0.255213213548666,-0.029758524769341,-0.000793974739955925,0.0584410292420615,2.4
127.705,26.5358616826407,-47.0483314669398,-0.255213213548666,-0.0297622579363419,-0.0006989095350954,0.0584993782794267,2.4
127.71,26.547544966567,-47.0510702397836,-0.254008724447216,-0.0297655100557757,-0.000601548589195921,0.0585577273167919,2.4
127.715,26.5592316091004,-47.05379464546,-0.254008724447216,-0.029768266556845,-0.000500650010386617,0.0586167215419436,2.4
127.72,26.5709183202629,-47.0565187567275,-0.252801826802699,-0.0297705125549488,-0.000397339843838327,0.0586757157670953,2.4
127.725,26.5826083791493,-47.0592284657938,-0.252801826802699,-0.0297722339109541,-0.000290782212451318,0.0587351353160261,2.4
127.73,26.5942985067873,-47.061937878239,-0.251592493962487,-0.0297734161919509,-0.000181701859204201,0.0587945548649568,2.4
127.735,26.6059919709639,-47.0646328542209,-0.251592493962487,-0.0297740456955736,-6.96615077026519e-05,0.0588541839103964,2.4
127.74,26.6176855037601,-47.0673275324461,-0.250380708349016,-0.0297741084454967,4.50080106581831e-05,0.058913812955836,2.4
127.745,26.6293823615924,-47.0700077408044,-0.250380708349016,-0.0297735911806549,0.000162352967637571,0.0589734398055522,2.4
127.75,26.6410792876663,-47.0726876513277,-0.249166461293456,-0.0297724803856194,0.00028242887360242,0.0590330666552685,2.4
127.755,26.6527795269434,-47.0753530595238,-0.249166461293456,-0.0297707632445526,0.000404898782070976,0.0590924838547445,2.4
127.76,26.6644798338473,-47.0780181708434,-0.247949752865321,-0.0297684267066178,0.000530196788225559,0.0591519010542206,2.4
127.765,26.6761834417782,-47.0806687484016,-0.247949752865321,-0.0297654584045537,0.000657610687098803,0.0592109054801053,2.4
127.77,26.6878871164932,-47.083319031058,-0.246730591697833,-0.0297618457552211,0.000787945231379677,0.05926990990599,2.4
127.775,26.6995940797044,-47.085954749625,-0.246730591697833,-0.0297575768427226,0.000920121077766236,0.059328302852478,2.4
127.78,26.7113011086377,-47.0885901762598,-0.245508994809426,-0.0297526395541494,0.00105530555163776,0.059386695798966,2.4
127.785,26.7230114131716,-47.0912110096608,-0.245508994809426,-0.0297470224272106,0.00119206043924381,0.0594442830572755,2.4
127.79,26.7347217821554,-47.0938315550728,-0.24428498742167,-0.029740713821207,0.00133190740888036,0.0595018703155851,2.4
